RP,PERSPVALUE,EP,RP,PERSPVALUE,EP,RP,PERSPVALUE,EP,RP,PERSPVALUE,EP
91,35099874.55,0.01104046677,88,33730339.65,0.01130038553,91,124012556,0.01104046677,88,121113919.5,0.01130038553
92,35631978.76,0.01090321891,90,34249267.95,0.01115948201,92,125128424.6,0.01090321891,90,122213979.1,0.01115948201
93,36164082.98,0.01076897839,91,34768196.25,0.01102168896,93,126240724.6,0.01076897839,91,123310469.2,0.01102168896
94,36715190.92,0.01063298879,92,35287124.55,0.01088690727,94,127389227.1,0.01063298879,92,124403424.8,0.01088690727
95,37342313.74,0.0104817743,93,35806052.86,0.01075503349,95,128692805.3,0.0104817743,93,125492950.6,0.01075503349
98,38311503.57,0.01025604362,94,36324981.16,0.01062598038,98,130692720.9,0.01025604362,94,126579051.7,0.01062598038
98,38767592.89,0.01015324345,95,36843909.46,0.01049965431,98,131625758.8,0.01015324345,95,127661817.4,0.01049965431
100,39503417.01,0.009989474296,96,37362837.76,0.01037597619,100,133142059.9,0.009989474296,96,128741243.3,0.01037597619
102,40476407.58,0.009780665197,99,38400694.37,0.01013621633,102,135130781.1,0.009780665197,99,130890413.7,0.01013621633
104,41449398.14,0.00957984835,101,39438550.97,0.009906097345,104,137104768.1,0.00957984835,101,133026898.3,0.009906097345
105,41838594.37,0.009501984397,103,40476407.58,0.009685048828,105,137887020.8,0.009501984397,103,135151085.5,0.009685048828
107,42616986.82,0.009347962675,106,41514264.18,0.009472557535,107,139463150.3,0.009347962675,106,137263216,0.009472557535
109,43589977.39,0.009161995374,108,42552120.79,0.00926813189,109,141419028.5,0.009161995374,108,139363688.8,0.00926813189
112,44660267.01,0.008965062355,110,43589977.39,0.0090713388,112,143556256.6,0.008965062355,110,141452655.6,0.0090713388
114,45633257.58,0.008792307268,113,44627833.99,0.008881760519,114,145489849.2,0.008792307268,113,143530426.2,0.008881760519
116,46703547.2,0.008608782733,115,45665690.6,0.008699019258,116,147607212.7,0.008608782733,115,145597182.7,0.008699019258
119,47773836.83,0.008431998514,117,46703547.2,0.008522751274,119,149711526.5,0.008431998514,117,147653238.5,0.008522751274
121,48746827.39,0.008276643846,120,47741403.81,0.008352633569,121,151615790.7,0.008276643846,120,149698707.3,0.008352633569
123,49817117.02,0.008111336447,122,48779260.41,0.008188351117,123,153701333.2,0.008111336447,122,151733860,0.008188351117
126,50887406.64,0.007951807539,125,49817117.02,0.008029621481,126,155774719,0.007951807539,125,153758809.4,0.008029621481
128,51860397.21,0.007811400524,127,50854973.62,0.00787616042,128,157651284.8,0.007811400524,127,155773924.1,0.00787616042
131,52930686.83,0.007661765227,129,51892830.23,0.007727728303,131,159706943.5,0.007661765227,129,157779211.5,0.007727728303
133,53903677.4,0.007530160974,132,52930686.83,0.007584080105,133,161564564.4,0.007530160974,132,159774950.6,0.007584080105
135,54973967.02,0.007389654578,134,53968543.44,0.007444997893,135,163601446.1,0.007389654578,134,161761245.7,0.007444997893
138,56044256.64,0.007253607986,137,55006400.04,0.007310263555,138,165628794.9,0.007253607986,137,163738392,0.007310263555
140,57017247.21,0.007133778928,139,56044256.64,0.007179688018,140,167461360.2,0.007133778928,139,165706441.2,0.007179688018
143,58087536.83,0.007005688293,142,57082113.25,0.007053080295,143,169470914.3,0.007005688293,142,167665639,0.007053080295
145,59157826.46,0.006881484041,144,58119969.85,0.00693027119,145,171471619.7,0.006881484041,144,169616058.3,0.00693027119
148,60130817.02,0.006771945761,147,59157826.46,0.006811082945,148,173280460.2,0.006771945761,147,171558065.6,0.006811082945
150,61201106.65,0.006654712072,149,60195683.06,0.006695372998,150,175264349.6,0.006654712072,149,173491606.9,0.006695372998
153,62174097.21,0.006551226206,152,61233539.67,0.006582987107,153,177058454.7,0.006551226206,152,175416955.2,0.006582987107
155,63244386.84,0.006440396259,154,62271396.27,0.00647378991,155,179026240,0.006440396259,154,177334200.6,0.00647378991
158,64217377.4,0.006342479756,157,63309252.88,0.006367642757,158,180806193.4,0.006342479756,157,179243620.8,0.006367642757
160,65287667.03,0.006237552261,160,64347109.48,0.006264428436,160,182758436.9,0.006237552261,160,181145235.1,0.006264428436
163,66357956.65,0.006135535005,162,65384966.08,0.006164023767,163,184702758.2,0.006135535005,162,183039285.9,0.006164023767
165,67330947.22,0.006045294457,165,66422822.69,0.006066324464,165,186462076.7,0.006045294457,165,184925773.5,0.006066324464
168,68401236.84,0.005948500707,167,67460679.29,0.005971207497,168,188391865.5,0.005948500707,167,186805172.7,0.005971207497
171,69374227.41,0.00586282225,170,68498535.9,0.005878588699,171,190138282,0.00586282225,170,188677302.5,0.005878588699
173,70444517.03,0.00577087047,173,69536392.5,0.005788364371,173,192053983,0.00577087047,173,190542463,0.005788364371
176,71514806.66,0.005681307029,175,70574249.11,0.00570044856,176,193962669.3,0.005681307029,175,192400689.5,0.00570044856
179,72487797.22,0.005601953058,178,71612105.71,0.005614747194,179,195690302.3,0.005601953058,178,194252281.3,0.005614747194
181,73558086.85,0.005516709777,181,72649962.32,0.005531185101,181,197585737.9,0.005516709777,181,196097221.7,0.005531185101
184,74531077.41,0.005441133344,183,73687818.92,0.005449679925,184,199301703.9,0.005441133344,183,197935732.5,0.005449679925
187,75601367.04,0.005359904562,186,74725675.53,0.00537016201,187,201184479.4,0.005359904562,186,199767831.9,0.00537016201
189,76574357.6,0.005287840331,189,75763532.13,0.005292549716,189,202889332.6,0.005287840331,189,201593895.7,0.005292549716
192,77644647.23,0.005210354977,192,76801388.73,0.00521678675,192,204759856.7,0.005210354977,192,203413783.4,0.00521678675
194,78617637.79,0.005141569078,194,77839245.34,0.005142802558,194,206453944.6,0.005141569078,194,205227760,0.005142802558
197,79687927.42,0.005067574261,197,78877101.94,0.005070539927,197,208312748.4,0.005067574261,197,207035837.7,0.005070539927
200,80660917.98,0.005001847688,200,79914958.55,0.004999933262,200,209996544.8,0.005001847688,200,208838305.9,0.004999933262
203,81731207.61,0.004931115939,203,80952815.15,0.004930933274,203,211844054.3,0.004931115939,203,210635106.4,0.004930933274
205,82704198.17,0.004868254871,206,81990671.76,0.004863482191,205,213517847.2,0.004868254871,206,212426458.5,0.004863482191
208,83774487.8,0.004800575212,208,83028528.36,0.004797535811,208,215354544.8,0.004800575212,208,214212280.8,0.004797535811
211,84844777.42,0.004734416633,211,84066384.97,0.004733029923,211,217185762,0.004734416633,211,215993095.8,0.004733029923
214,85915067.04,0.004669729043,214,85104241.57,0.004669932655,214,219011607.1,0.004669729043,214,217768597.2,0.004669932655
218,87179954.78,0.004595024855,217,86142098.18,0.00460819267,218,221165158.7,0.004595024855,217,219539064.9,0.00460819267
223,89223234.97,0.004478570209,220,87179954.78,0.004547770314,223,224622562.3,0.004478570209,220,221304502.4,0.004547770314
228,90974617.99,0.004382730033,226,89255667.99,0.004430705553,228,227564283.2,0.004382730033,226,224820818.6,0.004430705553
230,91753010.44,0.004341086163,232,91331381.2,0.004318434615,230,228870849,0.004341086163,232,228318267.8,0.004318434615
235,93504393.46,0.004249408129,237,93407094.41,0.004210665542,235,231810178.9,0.004249408129,237,231797789.2,0.004210665542
241,95547673.65,0.004146545447,243,95482807.62,0.004107145793,241,235215764.5,0.004146545447,243,235259738.7,0.004107145793
247,97590953.84,0.0040475958,250,97558520.83,0.004007628215,247,238605188.2,0.0040475958,250,238704912.7,0.004007628215
253,99634234.03,0.003952351623,256,99634234.03,0.003911897408,253,241978744.2,0.003952351623,256,242133607.7,0.003911897408
259,101677514.2,0.003860647178,262,101709947.2,0.003819732629,259,245335677.6,0.003860647178,262,245546875.3,0.003819732629
265,103720794.4,0.003772259945,268,103785660.5,0.00373095671,265,248677771.6,0.003772259945,268,248944695.2,0.00373095671
272,105861373.7,0.003682963611,274,105861373.7,0.003645384488,272,252166416.9,0.003682963611,274,252327814.1,0.003645384488
278,107904653.9,0.003600846189,281,107937086.9,0.003562857577,278,255479610,0.003600846189,281,255696394.4,0.003562857577
284,109947934,0.003521551017,287,110012800.1,0.003483212629,284,258779568,0.003521551017,287,259051234.8,0.003483212629
290,111991214.2,0.003444947759,294,112088513.3,0.003406315085,290,262066331.1,0.003444947759,294,262392347,0.003406315085
297,114131793.5,0.00336738779,300,114164226.5,0.003332026063,297,265498311.7,0.00336738779,300,265720299.2,0.003332026063
303,116175073.7,0.003295903645,307,116239939.7,0.00326022631,303,268759109.4,0.003295903645,307,269035152.1,0.00326022631
310,118218353.9,0.003226733934,313,118315652.9,0.003190787506,310,272008068.7,0.003226733934,313,272337737.9,0.003190787506
316,120261634,0.003159781851,320,120391366.1,0.00312361057,316,275245045.6,0.003159781851,320,275627844.4,0.00312361057
323,122402213.3,0.003091865617,327,122467079.3,0.003058586128,323,278625916.8,0.003091865617,327,278906051.7,0.003058586128
